# unix time in nanoseconds, state label
1721739027275343252, START
1721748540390147506, IGNORE
1721752423566535628, A
1721752460221820534, IGNORE
1721753179335344435, B
1721754608810084009, IGNORE
1721754921755964959, C
1721755774236515764, IGNORE
1721755839044694155, D
1721764497603362015, IGNORE
1721765036388768170, E
1721773546620178486, IGNORE
1721775529241595961, E
1721775915370340448, IGNORE
1721775918362464486, E
1721775960610659420, IGNORE
1721776293035925784, F
1721780928623686241, IGNORE
1721781544377607102, G
1721783969903856155, IGNORE
1721784072776127930, G
1721787984650637670, IGNORE
1721788092339623615, STOP
